id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1542460541800783872,1542460541800783872,2022-06-30 12:50:25 Hora de verano romance,2022-06-30,12:50:25,+0200,284115545,ceeivalencia,CEEI Valencia,,"📢Nos alegra muchísimo contaros esta gran noticia: tendremos el placer de contar con @TheBridge_Tech, un acuerdo que nos permitirá ofrecer más herramientas para acelerar el talento digital a nuestras #startups 👏  @AmparoGalbis1 @RamonCEEIVLC   https://t.co/Mkhinty1B6",es,"[{'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}, {'screen_name': 'amparogalbis1', 'name': 'amparo galbis', 'id': '990906704824012800'}, {'screen_name': 'ramonceeivlc', 'name': 'ramon ferrandis', 'id': '1019896759'}]",['https://ceeivalencia.emprenemjunts.es/?op=8&n=28034'],[],0,2,4,['startups'],[],https://twitter.com/ceeivalencia/status/1542460541800783872,False,,0,,,,,,,,[],,,,
1542448899645968384,1542401994488532994,2022-06-30 12:04:09 Hora de verano romance,2022-06-30,12:04:09,+0200,12085582,diegodl,diegodl,,@NadaQueGanarPod Estais invitados desde ya a hacer el primero de la próxima en @TheBridge_Tech y no se que lios os traeis con @_miki pero si quereis combo hay hueco,es,"[{'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}, {'screen_name': '_miki', 'name': 'miki ツ', 'id': '10671232'}]",[],[],0,0,1,[],[],https://twitter.com/diegodl/status/1542448899645968384,False,,0,,,,,,,,"[{'screen_name': 'NadaQueGanarPod', 'name': 'Nada Que Ganar', 'id': '1459584321648484357'}]",,,,
1542425851899281408,1542151630128381953,2022-06-30 10:32:34 Hora de verano romance,2022-06-30,10:32:34,+0200,1162694149956603904,thebridge_tech,The Bridge,,@LORIOTio @dariodotzero @insidezeusdata @sesamehr_ Thank you! It was a pleasure and a very interesting talk about innovation and business🤗,en,[],[],[],0,0,1,[],[],https://twitter.com/TheBridge_Tech/status/1542425851899281408,False,,0,,,,,,,,"[{'screen_name': 'LORIOTio', 'name': 'LORIOT', 'id': '3319318173'}, {'screen_name': 'dariodotzero', 'name': 'Dario Maccarrone', 'id': '484827579'}, {'screen_name': 'insidezeusdata', 'name': 'Zeus', 'id': '763323065199628288'}, {'screen_name': 'sesamehr_', 'name': 'Sesame HR', 'id': '3195111599'}]",,,,
1542415478618050560,1542415478618050560,2022-06-30 09:51:21 Hora de verano romance,2022-06-30,09:51:21,+0200,1073622740,coitcv,COITCV/AVIT,,"🤝 Gracias al convenio firmado con @TheBridge_Tech trabajaremos de forma conjunta en la realización de cursos, jornadas, actividades formativas, foros de discusión y asesoramiento mutuo en las acciones desarrolladas por ambas entidades.    https://t.co/gNPhADnlkk",es,"[{'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}]",['https://coitcv.org/2022/06/29/the-bridge-firma-un-convenio-de-colaboracion-con-coitcv-avit/'],[],0,0,1,[],[],https://twitter.com/COITCV/status/1542415478618050560,False,,0,,,,,,,,[],,,,
1542413891124301826,1542413891124301826,2022-06-30 09:45:02 Hora de verano romance,2022-06-30,09:45:02,+0200,1437833350732034050,javierpolaris,Javier Polaris,,Hoy master class de  @figma  y UIX en @TheBridge_Tech   https://t.co/fybYqXpUL6,es,"[{'screen_name': 'figma', 'name': 'figma', 'id': '3181020308'}, {'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}]",['https://www.figma.com'],[],0,0,1,[],[],https://twitter.com/JavierPolaris/status/1542413891124301826,False,,0,,,,,,,,[],,,,
1542238336894603265,1542206287915585536,2022-06-29 22:07:27 Hora de verano romance,2022-06-29,22:07:27,+0200,14661878,carlosmcabo,carlosmcabo,,@HeavyMental_es @TheBridge_Tech Buscando el pollo 🐣,es,[],[],[],0,0,1,[],[],https://twitter.com/carlosmcabo/status/1542238336894603265,False,,0,,,,,,,,"[{'screen_name': 'HeavyMental_es', 'name': 'Heavy Mental', 'id': '1255794072280842240'}, {'screen_name': 'TheBridge_Tech', 'name': 'The Bridge', 'id': '1162694149956603904'}]",,,,
1542225533546762243,1541660216290336769,2022-06-29 21:16:35 Hora de verano romance,2022-06-29,21:16:35,+0200,10671232,_miki,Miki ツ,,@carlosmdh @HeavyMental_es @UbaldoHervas @DavidAlayon @Recuenco @GuillermoDeHaro @TheBridge_Tech  https://t.co/Ig6QQ9fk47,qme,[],[],['https://pbs.twimg.com/tweet_video_thumb/FWcV8cvWQAEnoe-.jpg'],0,0,3,[],[],https://twitter.com/_miki/status/1542225533546762243,False,,1,https://pbs.twimg.com/tweet_video_thumb/FWcV8cvWQAEnoe-.jpg,,,,,,,"[{'screen_name': 'carlosmdh', 'name': 'Carlos M. Diaz', 'id': '40046861'}, {'screen_name': 'HeavyMental_es', 'name': 'Heavy Mental', 'id': '1255794072280842240'}, {'screen_name': 'UbaldoHervas', 'name': 'Ubaldo Hervás', 'id': '890890468988473346'}, {'screen_name': 'DavidAlayon', 'name': 'David Alayón', 'id': '2961901'}, {'screen_name': 'Recuenco', 'name': 'Javier G. Recuenco', 'id': '7154412'}, {'screen_name': 'GuillermoDeHaro', 'name': 'Guillermo de Haro', 'id': '131230732'}]",,,,
1542225403242332161,1541660216290336769,2022-06-29 21:16:03 Hora de verano romance,2022-06-29,21:16:03,+0200,40046861,carlosmdh,Carlos M. Diaz,,"@HeavyMental_es @UbaldoHervas @DavidAlayon @Recuenco @_miki @GuillermoDeHaro @TheBridge_Tech Te me tienes que cuidar ehhhh  y por cierto, colleja por venir a Madrid, hacer un podcast en directo y no avisarme  Capullo!!! 🤣🤣🤣🤣",es,[],[],[],1,0,4,[],[],https://twitter.com/carlosmdh/status/1542225403242332161,False,,0,,,,,,,,"[{'screen_name': 'HeavyMental_es', 'name': 'Heavy Mental', 'id': '1255794072280842240'}, {'screen_name': 'UbaldoHervas', 'name': 'Ubaldo Hervás', 'id': '890890468988473346'}, {'screen_name': 'DavidAlayon', 'name': 'David Alayón', 'id': '2961901'}, {'screen_name': 'Recuenco', 'name': 'Javier G. Recuenco', 'id': '7154412'}, {'screen_name': '_miki', 'name': 'Miki ツ', 'id': '10671232'}, {'screen_name': 'GuillermoDeHaro', 'name': 'Guillermo de Haro', 'id': '131230732'}, {'screen_name': 'TheBridge_Tech', 'name': 'The Bridge', 'id': '1162694149956603904'}]",,,,
1542224482710028291,1541660216290336769,2022-06-29 21:12:24 Hora de verano romance,2022-06-29,21:12:24,+0200,1255794072280842240,heavymental_es,Heavy Mental,,@carlosmdh @UbaldoHervas @DavidAlayon @Recuenco @_miki @GuillermoDeHaro @TheBridge_Tech Yes!! ;) ;),und,[],[],[],1,0,3,[],[],https://twitter.com/HeavyMental_es/status/1542224482710028291,False,,0,,,,,,,,"[{'screen_name': 'carlosmdh', 'name': 'Carlos M. Diaz', 'id': '40046861'}, {'screen_name': 'UbaldoHervas', 'name': 'Ubaldo Hervás', 'id': '890890468988473346'}, {'screen_name': 'DavidAlayon', 'name': 'David Alayón', 'id': '2961901'}, {'screen_name': 'Recuenco', 'name': 'Javier G. Recuenco', 'id': '7154412'}, {'screen_name': '_miki', 'name': 'Miki ツ', 'id': '10671232'}, {'screen_name': 'GuillermoDeHaro', 'name': 'Guillermo de Haro', 'id': '131230732'}, {'screen_name': 'TheBridge_Tech', 'name': 'The Bridge', 'id': '1162694149956603904'}]",,,,
1542224097089822726,1541660216290336769,2022-06-29 21:10:52 Hora de verano romance,2022-06-29,21:10:52,+0200,40046861,carlosmdh,Carlos M. Diaz,,@HeavyMental_es @UbaldoHervas @DavidAlayon @Recuenco @_miki @GuillermoDeHaro @TheBridge_Tech El segundo por la derecha de la primera fila es mikki?,es,[],[],[],1,0,3,[],[],https://twitter.com/carlosmdh/status/1542224097089822726,False,,0,,,,,,,,"[{'screen_name': 'HeavyMental_es', 'name': 'Heavy Mental', 'id': '1255794072280842240'}, {'screen_name': 'UbaldoHervas', 'name': 'Ubaldo Hervás', 'id': '890890468988473346'}, {'screen_name': 'DavidAlayon', 'name': 'David Alayón', 'id': '2961901'}, {'screen_name': 'Recuenco', 'name': 'Javier G. Recuenco', 'id': '7154412'}, {'screen_name': '_miki', 'name': 'Miki ツ', 'id': '10671232'}, {'screen_name': 'GuillermoDeHaro', 'name': 'Guillermo de Haro', 'id': '131230732'}, {'screen_name': 'TheBridge_Tech', 'name': 'The Bridge', 'id': '1162694149956603904'}]",,,,
